,Beaufort number,knot（kt),km/h,m/s,Description,Sea conditions,Land conditions,Wave height (m),Color
0,0,0～1,0～2,0~0.2,Calm,Sea like a mirror,Smoke rises vertically,0～0.1,#FFFFFF
1,1,1～3,2～6,0.3~1.5,Light air,"Ripples with appearance of scales are formed, without foam crests",Direction shown by smoke drift but not by wind vanes,0.1～0.3,#CCFFFF
2,2,4～6,7～12,1.6~3.3,Light breeze,Small wavelets still short but more pronounced; crests have a glassy appearance but do not break,Wind felt on face; leaves rustle; wind vane moved by wind,0.3～0.5,#99FFFF
3,3,7～10,13～19,3.4~5.4,Gentle breeze,Large wavelets; crests begin to break; foam of glassy appearance; perhaps scattered white horses,Leaves and small twigs in constant motion; light flags extended,0.5～0.9,#66FFFF
4,4,11～16,20～30,5.5~7.9,Moderate breeze,Small waves becoming longer; fairly frequent white horses,Raises dust and loose paper; small branches moved,0.9～1.25,#00FFFF
5,5,17～21,31～40,8.0~10.7,Fresh breeze,Moderate waves taking a more pronounced long form; many white horses are formed; chance of some spray,Small trees in leaf begin to sway; crested wavelets form on inland waters,1.25～2.5,#00CCFF
6,6,22～27,41～51,10.8~13.8,Strong breeze,Large waves begin to form; the white foam crests are more extensive everywhere; probably some spray,Large branches in motion; whistling heard in telegraph wires; umbrellas used with difficulty,2.5～3,#0099FF
7,7,28～33,52～62,13.9~17.1,Near gale,Sea heaps up and white foam from breaking waves begins to be blown in streaks along the direction of the wind; spindrift begins to be seen,Whole trees in motion; inconvenience felt when walking against the wind,3～4,#0066FF
8,8,34～40,63～75,17.2~20.7,Gale,Moderately high waves of greater length; edges of crests break into spindrift; foam is blown in well-marked streaks along the direction of the wind,Twigs break off trees; generally impedes progress,4～6,#0000FF
9,9,41～47,76～87,20.8~24.4,Strong Gale,High waves; dense streaks of foam along the direction of the wind; sea begins to roll; spray affects visibility,Slight structural damage (chimney pots and slates removed),6～9,#0000CC
10,10,48～55,88～103,24.5~28.4,Storm,Very high waves with long overhanging crests; resulting foam in great patches is blown in dense white streaks along the direction of the wind; on the whole the surface of the sea takes on a white appearance; rolling of the sea becomes heavy; visibility affected,Seldom experienced inland; trees uprooted; considerable structural damage,9～11,#000099
11,11,56～63,104～117,28.5~32.6,Violent storm,Exceptionally high waves; small- and medium-sized ships might be for a long time lost to view behind the waves; sea is covered with long white patches of foam; everywhere the edges of the wave crests are blown into foam; visibility affected,Very rarely experienced; accompanied by widespread damage,11～14,#000066
12,12,64～71,118～132,32.7~36.9,Hurricane,The air is filled with foam and spray; sea is completely white with driving spray; visibility very seriously affected,Devastation,≧14,#000066
13,13,72～80,133～149,37.0~41.4,not applicable,Extreme giant waves / raging waves / extremely large waves: The waves on the sea are towering and beyond imagination.,"If it appears on land, it is bound to become a disaster, as it is difficult to occur on land.",>14,#000000
14,14,81～89,150～166,41.5~46.1,not applicable,Extreme giant waves / raging waves / extremely large waves: The waves on the sea are towering and beyond imagination.,"If it appears on land, it is bound to become a disaster, as it is difficult to occur on land.",>14,#111111
15,15,90～99,167～184,46.2~50.9,not applicable,Extreme giant waves / raging waves / extremely large waves: The waves on the sea are towering and beyond imagination.,"If it appears on land, it is bound to become a disaster, as it is difficult to occur on land.",>14,#111111
16,16,100～108,185～201,51.0~56.0,not applicable,Extreme giant waves / raging waves / extremely large waves: The waves on the sea are towering and beyond imagination.,"If it appears on land, it is bound to become a disaster, as it is difficult to occur on land.",>14,#222222
17,17,109～119,202～219,56.1~61.2,not applicable,Extreme giant waves / raging waves / extremely large waves: The waves on the sea are towering and beyond imagination.,"If it appears on land, it is bound to become a disaster, as it is difficult to occur on land.",>14,#222222
18,above 17,≧120,≧220,≧61.3,not applicable,Extreme giant waves / raging waves / extremely large waves: The waves on the sea are towering and beyond imagination.,"If it appears on land, it is bound to become a disaster, as it is difficult to occur on land.",>14,#333333
